node_1,node_2,distance
Stejskalova,U Krize,1
Stepanska,I. P. Pavlova,2
Stepanska,Karlovo namesti,1
Stepnicna,Ladvi,1
Stepnicna,Sidliste Dablice,2
Strasnicka,Na Hroude,2
Strasnicka,Prubezna,1
Strasnicka,Vozovna Strasnice,1
Strazni,Chmelnice,1
Strazni,Vozovna Zizkov,1
Strelnicna,Brezineveska,1
Strelnicna,Kobylisy,1
Strelnicna,Kyselova,1
Strossmayerovo namesti,Kamenicka,1
Strossmayerovo namesti,Nabrezi Kapitana Jarose,1
Strossmayerovo namesti,Veletrzni palac,1
Strossmayerovo namesti,Vltavska,2
Sumavska,Namesti Miru,2
Sumavska,Vinohradska vodarna,1
Svandovo divadlo,Arbesovo namesti,1
Svandovo divadlo,Ujezd,1
Svatoplukova,Divadlo Na Fidlovacce,1
Svatoplukova,Ostrcilovo namesti,1
Tesnov,Bila labut,1
Tesnov,Vltavska,2
Thakurova,Dejvicka,2
Thakurova,Hadovka,1
Trebenicka,Stepnicna,1
Trojska,Nad Trojou,1
Trojska,Nadrazi Holesovice,2
Tusarova,Prazska trznice,2
U Elektry,Nademlejnska,1
U Elektry,Podkovarska,1
U Kastanu,Brevnovsky klaster,1
U Kastanu,Drinopol,1
U Krize,Stejskalova,1
U Krize,Vosmikovych,1
U Libusskeho potoka,Modranska rokle,1
U Libusskeho potoka,Poliklinika Modrany,1
U Pruhonu,Ortenovo namesti,1
U Zvonu,Bertramka,1
U Zvonu,Klamovka,1
Ujezd,Hellichova,1
Ujezd,Narodni divadlo,2
Ujezd,Svandovo divadlo,1
Urxova,Invalidovna,1
Urxova,Krizikova,1
Ustredni dilny DP,Na Homoli,1
Vaclavske namesti,Jindrisska,1
Vaclavske namesti,Vodickova,1
Veletrzni palac,Strossmayerovo namesti,1
Veletrzni palac,Vystaviste Holesovice,1
Vetrnik,Petriny,1
Vetrnik,Vojenska nemocnice,1
Vinice,Solidarita,1
Vinohradska trznice,Italska,1
Vinohradska trznice,Jiriho z Podebrad,2
Vinohradska vodarna,Perunova,1
Vinohradska vodarna,Sumavska,1
Vinohradske hrbitovy,Krematorium Strasnice,1
Vinohradske hrbitovy,Zelivskeho,1
